"symbol","resolution","timestamp_utc","volume"
"BHL","1H_derived_from_1m","2026-04-15T06:00:00.0000000Z","215146"
"BHL","1H_derived_from_1m","2026-04-15T07:00:00.0000000Z","60382"
"BHL","1H_derived_from_1m","2026-04-15T08:00:00.0000000Z","128716"
"BHL","1H_derived_from_1m","2026-04-15T09:00:00.0000000Z","53140"
"BHL","1H_derived_from_1m","2026-04-16T05:00:00.0000000Z","72737"
"BHL","1H_derived_from_1m","2026-04-16T06:00:00.0000000Z","50951"
"BHL","1H_derived_from_1m","2026-04-16T07:00:00.0000000Z","133638"
"BHL","1H_derived_from_1m","2026-04-16T08:00:00.0000000Z","72360"
"BHL","1H_derived_from_1m","2026-04-16T09:00:00.0000000Z","47062"
"BHL","1H_derived_from_1m","2026-04-17T05:00:00.0000000Z","81113"
"BHL","1H_derived_from_1m","2026-04-17T06:00:00.0000000Z","46909"
"BHL","1H_derived_from_1m","2026-04-17T07:00:00.0000000Z","67368"
"BHL","1H_derived_from_1m","2026-04-17T08:00:00.0000000Z","45904"
"BHL","1H_derived_from_1m","2026-04-17T09:00:00.0000000Z","37829"
"BHL","1H_derived_from_1m","2026-04-20T05:00:00.0000000Z","54343"
"BHL","1H_derived_from_1m","2026-04-20T06:00:00.0000000Z","28121"
"BHL","1H_derived_from_1m","2026-04-20T07:00:00.0000000Z","39996"
"BHL","1H_derived_from_1m","2026-04-20T08:00:00.0000000Z","24190"
"BHL","1H_derived_from_1m","2026-04-20T09:00:00.0000000Z","44468"
"BHL","1H_derived_from_1m","2026-04-21T05:00:00.0000000Z","19121"
"BHL","1H_derived_from_1m","2026-04-21T06:00:00.0000000Z","41997"
"BHL","1H_derived_from_1m","2026-04-21T07:00:00.0000000Z","25954"
"BHL","1H_derived_from_1m","2026-04-21T08:00:00.0000000Z","76251"
"BHL","1H_derived_from_1m","2026-04-21T09:00:00.0000000Z","88217"
