"symbol","resolution","timestamp_utc","volume"
"BHL","1m","2026-03-23T08:06:51.0000000Z","1659"
"BHL","1m","2026-03-23T08:07:59.0000000Z","2731"
"BHL","1m","2026-03-23T08:08:58.0000000Z","8558"
"BHL","1m","2026-03-23T08:09:59.0000000Z","589"
"BHL","1m","2026-03-23T08:10:15.0000000Z","61"
"BHL","1m","2026-03-23T08:11:42.0000000Z","2515"
"BHL","1m","2026-03-23T08:12:49.0000000Z","650"
"BHL","1m","2026-03-23T08:13:54.0000000Z","1390"
"BHL","1m","2026-03-23T08:14:57.0000000Z","30"
"BHL","1m","2026-03-23T08:15:22.0000000Z","0"
"BHL","1m","2026-03-23T08:16:51.0000000Z","1320"
"BHL","1m","2026-03-23T08:17:50.0000000Z","3295"
"BHL","1m","2026-03-23T08:18:19.0000000Z","160"
"BHL","1m","2026-03-23T08:19:21.0000000Z","487"
"BHL","1m","2026-03-23T08:20:53.0000000Z","500"
"BHL","1m","2026-03-23T08:21:48.0000000Z","763"
"BHL","1m","2026-03-23T08:22:48.0000000Z","1780"
"BHL","1m","2026-03-23T08:23:27.0000000Z","300"
"BHL","1m","2026-03-23T08:24:49.0000000Z","5205"
"BHL","1m","2026-03-23T08:25:54.0000000Z","1875"
"BHL","1m","2026-03-23T08:26:54.0000000Z","1383"
"BHL","1m","2026-03-23T08:27:57.0000000Z","1812"
"BHL","1m","2026-03-23T08:28:50.0000000Z","2641"
"BHL","1m","2026-03-23T08:30:51.0000000Z","282"
"BHL","1m","2026-03-23T08:31:07.0000000Z","220"
"BHL","1m","2026-03-23T08:33:54.0000000Z","1621"
"BHL","1m","2026-03-23T08:34:55.0000000Z","1499"
"BHL","1m","2026-03-23T08:35:56.0000000Z","541"
"BHL","1m","2026-03-23T08:36:43.0000000Z","1590"
"BHL","1m","2026-03-23T08:37:12.0000000Z","527"
"BHL","1m","2026-03-23T08:38:49.0000000Z","1294"
"BHL","1m","2026-03-23T08:39:40.0000000Z","612"
"BHL","1m","2026-03-23T08:40:42.0000000Z","311"
"BHL","1m","2026-03-23T08:41:49.0000000Z","114"
"BHL","1m","2026-03-23T08:42:28.0000000Z","3340"
"BHL","1m","2026-03-23T08:43:49.0000000Z","43"
"BHL","1m","2026-03-23T08:44:34.0000000Z","265"
"BHL","1m","2026-03-23T08:45:50.0000000Z","1084"
"BHL","1m","2026-03-23T08:46:51.0000000Z","2714"
"BHL","1m","2026-03-23T08:47:16.0000000Z","220"
"BHL","1m","2026-03-23T08:48:22.0000000Z","1587"
"BHL","1m","2026-03-23T08:49:46.0000000Z","5371"
"BHL","1m","2026-03-23T08:51:22.0000000Z","621"
"BHL","1m","2026-03-23T08:52:52.0000000Z","2406"
"BHL","1m","2026-03-23T08:53:22.0000000Z","1597"
"BHL","1m","2026-03-23T08:54:32.0000000Z","1500"
"BHL","1m","2026-03-23T08:55:48.0000000Z","3190"
"BHL","1m","2026-03-23T08:56:51.0000000Z","3030"
"BHL","1m","2026-03-23T08:57:38.0000000Z","1591"
"BHL","1m","2026-03-23T08:58:51.0000000Z","1272"
"BHL","1m","2026-03-23T08:59:56.0000000Z","5842"
"BHL","1m","2026-03-23T09:00:06.0000000Z","10"
"BHL","1m","2026-03-23T09:01:57.0000000Z","2720"
"BHL","1m","2026-03-23T09:02:56.0000000Z","6137"
"BHL","1m","2026-03-23T09:03:58.0000000Z","3875"
"BHL","1m","2026-03-23T09:04:33.0000000Z","545"
"BHL","1m","2026-03-23T09:05:56.0000000Z","3720"
"BHL","1m","2026-03-23T09:06:42.0000000Z","8762"
"BHL","1m","2026-03-23T09:07:05.0000000Z","2194"
"BHL","1m","2026-03-23T09:08:54.0000000Z","4177"
"BHL","1m","2026-03-23T09:09:25.0000000Z","9871"
"BHL","1m","2026-03-23T09:10:59.0000000Z","31012"
"BHL","1m","2026-03-23T09:11:56.0000000Z","10851"
"BHL","1m","2026-03-23T09:12:57.0000000Z","16486"
"BHL","1m","2026-03-23T09:13:58.0000000Z","17646"
"BHL","1m","2026-03-23T09:14:59.0000000Z","18383"
"BHL","1m","2026-03-24T05:15:18.0000000Z","161"
"BHL","1m","2026-03-24T05:16:30.0000000Z","10"
"BHL","1m","2026-03-24T05:17:55.0000000Z","7699"
"BHL","1m","2026-03-24T05:18:53.0000000Z","1498"
"BHL","1m","2026-03-24T05:19:54.0000000Z","400"
"BHL","1m","2026-03-24T05:20:43.0000000Z","795"
"BHL","1m","2026-03-24T05:21:32.0000000Z","844"
"BHL","1m","2026-03-24T05:22:59.0000000Z","564"
"BHL","1m","2026-03-24T05:23:48.0000000Z","1200"
"BHL","1m","2026-03-24T05:24:48.0000000Z","1425"
"BHL","1m","2026-03-24T05:25:49.0000000Z","3070"
"BHL","1m","2026-03-24T05:26:57.0000000Z","1175"
"BHL","1m","2026-03-24T05:27:11.0000000Z","1200"
"BHL","1m","2026-03-24T05:28:55.0000000Z","460"
"BHL","1m","2026-03-24T05:29:53.0000000Z","0"
"BHL","1m","2026-03-24T05:30:58.0000000Z","1057"
"BHL","1m","2026-03-24T05:31:51.0000000Z","1199"
"BHL","1m","2026-03-24T05:32:25.0000000Z","1161"
"BHL","1m","2026-03-24T05:33:24.0000000Z","210"
"BHL","1m","2026-03-24T05:34:18.0000000Z","5000"
"BHL","1m","2026-03-24T05:35:57.0000000Z","450"
"BHL","1m","2026-03-24T05:36:51.0000000Z","2945"
"BHL","1m","2026-03-24T05:37:38.0000000Z","1344"
"BHL","1m","2026-03-24T05:38:54.0000000Z","4346"
"BHL","1m","2026-03-24T05:39:42.0000000Z","21"
"BHL","1m","2026-03-24T05:40:49.0000000Z","5876"
"BHL","1m","2026-03-24T05:41:59.0000000Z","3410"
"BHL","1m","2026-03-24T05:42:55.0000000Z","393"
"BHL","1m","2026-03-24T05:43:07.0000000Z","1095"
"BHL","1m","2026-03-24T05:44:55.0000000Z","10503"
"BHL","1m","2026-03-24T05:45:50.0000000Z","8718"
"BHL","1m","2026-03-24T05:46:55.0000000Z","1537"
"BHL","1m","2026-03-24T05:47:18.0000000Z","384"
"BHL","1m","2026-03-24T05:48:43.0000000Z","2310"
"BHL","1m","2026-03-24T05:49:56.0000000Z","674"
"BHL","1m","2026-03-24T05:50:47.0000000Z","161"
"BHL","1m","2026-03-24T05:52:43.0000000Z","8163"
"BHL","1m","2026-03-24T05:54:06.0000000Z","1394"
"BHL","1m","2026-03-24T05:56:38.0000000Z","7912"
"BHL","1m","2026-03-24T05:58:11.0000000Z","0"
"BHL","1m","2026-03-24T05:59:43.0000000Z","243"
"BHL","1m","2026-03-24T06:00:58.0000000Z","3453"
"BHL","1m","2026-03-24T06:01:57.0000000Z","160"
"BHL","1m","2026-03-24T06:02:58.0000000Z","570"
"BHL","1m","2026-03-24T06:03:47.0000000Z","1115"
"BHL","1m","2026-03-24T06:04:51.0000000Z","2340"
"BHL","1m","2026-03-24T06:05:47.0000000Z","246"
"BHL","1m","2026-03-24T06:06:57.0000000Z","3030"
"BHL","1m","2026-03-24T06:07:02.0000000Z","82"
"BHL","1m","2026-03-24T06:08:31.0000000Z","218"
"BHL","1m","2026-03-24T06:09:50.0000000Z","456"
"BHL","1m","2026-03-24T06:10:51.0000000Z","2927"
"BHL","1m","2026-03-24T06:11:48.0000000Z","271"
"BHL","1m","2026-03-24T06:12:49.0000000Z","2570"
"BHL","1m","2026-03-24T06:13:39.0000000Z","339"
"BHL","1m","2026-03-24T06:14:08.0000000Z","199"
"BHL","1m","2026-03-24T06:15:46.0000000Z","1685"
"BHL","1m","2026-03-24T06:16:36.0000000Z","161"
"BHL","1m","2026-03-24T06:17:41.0000000Z","2138"
"BHL","1m","2026-03-24T06:18:58.0000000Z","2525"
"BHL","1m","2026-03-24T06:19:37.0000000Z","476"
"BHL","1m","2026-03-24T06:20:49.0000000Z","780"
"BHL","1m","2026-03-24T06:21:46.0000000Z","820"
"BHL","1m","2026-03-24T06:22:42.0000000Z","5392"
"BHL","1m","2026-03-24T06:23:54.0000000Z","520"
"BHL","1m","2026-03-24T06:24:59.0000000Z","3294"
"BHL","1m","2026-03-24T06:25:45.0000000Z","444"
"BHL","1m","2026-03-24T06:26:23.0000000Z","74"
"BHL","1m","2026-03-24T06:27:57.0000000Z","2711"
"BHL","1m","2026-03-24T06:28:36.0000000Z","1115"
"BHL","1m","2026-03-24T06:29:13.0000000Z","0"
"BHL","1m","2026-03-24T06:30:02.0000000Z","900"
"BHL","1m","2026-03-24T06:31:15.0000000Z","1000"
"BHL","1m","2026-03-24T06:32:56.0000000Z","1453"
"BHL","1m","2026-03-24T06:33:27.0000000Z","40"
"BHL","1m","2026-03-24T06:34:55.0000000Z","610"
