symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes
NRIC,2021-09-01,2026-04-17,1595,True,90,64967783.10,52036.50,1251.00,True,,NON_LIFE_INSURANCE,high,curated_lookup,True,
SAHAS,2021-11-03,2026-04-17,1594,False,90,62666039.35,109954.50,571.65,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
GHL,2021-09-01,2026-04-17,1595,True,90,62155509.90,239333.50,241.50,True,,HYDROPOWER,high,curated_lookup,True,
HIDCLP,2022-08-26,2026-04-17,1311,False,90,61732929.30,324656.00,195.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SNMAPO,2022-12-07,2026-04-09,22,False,5,61107120.00,339484.00,180.00,False,promoter_share,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED
CBBLPO,2021-11-22,2026-02-24,12,False,1,59771740.00,151612.00,395.00,False,promoter_share,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED
SHPC,2021-09-01,2026-04-17,1595,True,90,58510663.30,107314.00,545.50,True,,HYDROPOWER,high,curated_lookup,True,
BARUN,2021-09-01,2026-04-17,1595,True,90,56078096.60,159977.00,361.95,True,,HYDROPOWER,high,curated_lookup,True,
PHCL,2022-12-14,2026-04-17,1201,False,90,54405547.45,180448.50,299.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
UPPER,2021-09-01,2026-04-17,1595,True,90,53400230.10,266170.00,190.85,True,,HYDROPOWER,high,curated_lookup,True,
TPC,2021-11-03,2026-04-17,1591,False,90,52999625.60,131034.00,391.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
RFPL,2022-06-16,2026-04-17,1371,False,90,52480941.10,127090.00,401.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
LBBL,2021-09-01,2026-04-17,1595,True,90,51656045.00,104571.00,486.80,True,,DEV_BANK,high,curated_lookup,True,
UMHL,2021-09-01,2026-04-17,1595,True,90,50774079.55,81165.00,626.95,True,,HYDROPOWER,high,curated_lookup,True,
HPPL,2021-09-01,2026-04-17,1595,True,90,50558691.60,116355.50,472.00,True,,HYDROPOWER,high,curated_lookup,True,
PPL,2022-10-16,2026-04-17,1260,False,90,49688026.30,127611.50,384.70,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
KKHC,2021-09-01,2026-04-17,1595,True,90,48999442.70,167300.00,280.45,True,,HYDROPOWER,high,curated_lookup,True,
SAGAR,2025-11-09,2026-04-17,156,False,90,47210126.65,22769.00,1999.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
TTL,2025-07-17,2026-04-17,271,False,90,46047338.35,50881.50,908.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
HIDCL,2021-09-01,2026-04-17,1595,True,90,44033851.10,161841.50,266.45,True,,INFRA_INVEST,high,curated_lookup,True,
SANVI,2025-07-20,2026-04-17,268,False,90,42664147.10,51813.00,826.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SAPDBL,2021-09-01,2026-04-17,1595,True,90,41682633.90,50841.00,853.70,True,,DEV_BANK,high,curated_lookup,True,
NIFRA,2021-09-01,2026-04-17,1595,True,90,41630721.45,156320.50,266.90,True,,INFRA_INVEST,high,curated_lookup,True,
SPDL,2021-09-01,2026-04-17,1595,True,90,40711889.00,101821.00,409.90,True,,HYDROPOWER,high,curated_lookup,True,
JBLBP,2022-02-15,2026-02-21,46,False,9,40000000.00,80000.00,100.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
TVCL,2023-12-07,2026-04-17,855,False,90,39768446.00,64285.50,613.05,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
GLH,2021-09-01,2026-04-17,1595,True,90,39327345.20,146809.00,271.00,True,,HYDROPOWER,high,curated_lookup,True,
PRVU,2021-09-01,2026-04-17,1595,True,90,38673114.50,208736.00,189.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,
JBBL,2021-09-01,2026-04-17,1595,True,90,37020295.85,102918.50,345.50,True,,DEV_BANK,high,curated_lookup,True,
NICA,2021-09-01,2026-04-17,1595,True,90,36573400.95,107458.00,340.45,True,,COMMERCIAL_BANK,high,curated_lookup,True,
NABIL,2021-09-01,2026-04-17,1595,True,90,35262585.15,71174.00,499.15,True,,COMMERCIAL_BANK,high,curated_lookup,True,
RHGCL,2022-08-31,2026-04-17,1306,False,90,35120572.55,112401.00,289.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SBL,2021-09-01,2026-04-17,1595,True,90,34868870.40,90817.00,388.45,True,,COMMERCIAL_BANK,high,curated_lookup,True,
DHEL,2025-11-06,2026-04-17,159,False,90,34712338.10,47798.00,720.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
GVL,2022-04-19,2026-04-17,1429,False,90,33963650.20,69642.50,500.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
CREST,2025-04-10,2026-04-17,369,False,90,33551390.65,24980.00,1390.10,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
MEN,2021-09-01,2026-04-17,1595,True,90,33424131.35,56127.00,595.00,True,,HYDROPOWER,high,curated_lookup,True,
NIMB,2023-02-23,2026-04-17,1130,False,90,32842809.35,169046.00,195.00,True,,COMMERCIAL_BANK,high,curated_lookup,False,POST_2021_LISTING
BHCL,2025-08-20,2026-04-17,237,False,90,31582899.40,55179.00,588.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
NLIC,2021-09-01,2026-04-17,1595,True,90,30001483.75,38571.00,780.00,True,,LIFE_INSURANCE,high,curated_lookup,True,
GBIME,2021-09-01,2026-04-17,1388,True,90,26752185.65,116888.00,229.45,True,,COMMERCIAL_BANK,high,curated_lookup,True,
CHL,2021-09-01,2026-04-17,1595,True,90,25398404.20,89403.00,289.90,True,,HYDROPOWER,high,curated_lookup,False,
SANIMA,2021-09-01,2026-04-17,1595,True,90,25367899.65,75863.00,341.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,
HLI,2023-06-22,2026-04-17,1025,False,90,24396155.40,66902.00,367.65,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
PURE,2025-05-27,2026-04-17,322,False,90,24328190.90,23665.00,996.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
HIMSTAR,2025-09-01,2026-04-17,225,False,90,23460335.65,24061.50,970.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
CGH,2021-09-01,2026-04-17,1595,True,90,23262570.90,27110.00,851.00,True,,HOTEL,high,curated_lookup,True,
FMDBL,2021-09-01,2026-04-17,1595,True,90,23019348.00,28103.00,812.50,True,,DEV_BANK,high,curated_lookup,True,
SARBTM,2024-03-19,2026-04-17,755,False,90,22797048.80,25689.00,878.60,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
EBL,2021-09-01,2026-04-17,1595,True,90,22547873.20,32299.50,674.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,
BHPL,2023-01-04,2026-04-17,1180,False,90,22489763.90,40884.50,567.95,True,,HYDROPOWER,medium,pattern:HPL$,False,SECTOR_UNVERIFIED;POST_2021_LISTING
MPFL,2021-09-01,2026-04-17,1590,True,90,22383145.10,32843.50,650.40,True,,FINANCE,high,curated_lookup,True,
HHL,2022-08-08,2026-04-17,1329,False,90,22350866.35,62383.50,344.05,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
ALICL,2021-09-01,2026-04-17,1595,True,90,22278181.20,46658.00,470.00,True,,LIFE_INSURANCE,high,curated_lookup,True,
NBL,2021-09-01,2026-04-17,1595,True,90,22250388.90,88883.00,248.40,True,,COMMERCIAL_BANK,high,curated_lookup,True,
EHPL,2022-12-14,2026-04-17,1198,False,90,21418890.70,52016.00,421.00,True,,HYDROPOWER,medium,pattern:HPL$,False,SECTOR_UNVERIFIED;POST_2021_LISTING
MNBBL,2021-09-01,2026-04-17,1592,True,90,21278236.80,58554.50,371.00,True,,DEV_BANK,high,curated_lookup,True,
MNBBLP,2021-11-15,2026-03-24,77,False,1,21258000.00,90000.00,236.20,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
BHDC,2022-07-28,2026-04-17,1339,False,90,21201748.10,43874.00,481.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SONA,2023-10-29,2026-04-17,897,False,90,21109236.05,48134.50,436.05,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
KBLPO,2021-09-01,2026-04-10,232,True,9,20580000.00,200000.00,100.00,False,promoter_share,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED
KPCL,2021-09-01,2026-04-17,1591,True,90,20360359.35,39597.00,533.45,True,,HYDROPOWER,high,curated_lookup,False,
MBL,2021-09-01,2026-04-17,1595,True,90,20151451.40,87660.00,232.25,True,,COMMERCIAL_BANK,high,curated_lookup,True,
PPCL,2021-09-01,2026-04-17,1595,True,90,20142914.80,53441.00,385.00,True,,HYDROPOWER,high,curated_lookup,False,
GRDBL,2021-09-01,2026-04-17,1595,True,90,19962752.80,17812.00,1095.40,True,,DEV_BANK,high,curated_lookup,True,
SINDU,2021-09-01,2026-04-17,1595,True,90,19815720.60,25618.00,760.00,True,,DEV_BANK,high,curated_lookup,True,
CHCL,2021-09-01,2026-04-17,1595,True,90,19556220.60,41621.00,477.00,True,,HYDROPOWER,high,curated_lookup,False,
JOSHI,2021-09-01,2026-04-17,1595,True,90,19499242.75,65710.00,300.00,True,,HYDROPOWER,high,curated_lookup,False,
LSL,2023-08-28,2026-04-17,959,False,90,19444644.70,91404.00,215.80,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
NLICLP,2022-02-24,2026-02-16,26,False,3,19227900.00,59900.00,321.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
CBBL,2021-09-01,2026-04-17,1595,True,90,19129089.90,20721.00,931.50,True,,MICROFINANCE,high,curated_lookup,True,
KSBBL,2021-09-01,2026-04-17,1595,True,90,19029212.70,40338.00,468.00,True,,DEV_BANK,high,curated_lookup,True,
HBL,2022-06-06,2026-04-17,1381,False,90,18887076.20,96785.00,194.25,True,,COMMERCIAL_BANK,high,curated_lookup,False,POST_2021_LISTING
